Ch,Circ,action,location,person,Author,Novel
0.15896671634376552,0.2965722801788376,0.04222553402881272,0.19324391455538997,0.30899155489319424,Бианки,Лесная газета. Сказки и рассказы
0.15551537070524413,0.3096745027124774,0.037070524412296565,0.20614828209764918,0.29159132007233274,Бианки,Лесная газета. Сказки и рассказы
0.16747703943814155,0.28363047001620745,0.03889789303079417,0.21231766612641814,0.2976769313884387,Бианки,Лесная газета. Сказки и рассказы
0.16770483948251078,0.2961188308576905,0.03018687110685194,0.21562050790608528,0.2903689506468615,Бианки,Лесная газета. Сказки и рассказы
0.16468151216986018,0.3252200932159503,0.03003625064733299,0.20352149145520457,0.276540652511652,Бианки,Лесная газета. Сказки и рассказы
0.16598453842655753,0.32833105957253295,0.026830377444292862,0.20554797635288768,0.27330604820372895,Бианки,Лесная газета. Сказки и рассказы
0.11207834602829161,0.3862894450489663,0.01632208922742111,0.20783460282916214,0.27747551686615884,Бианки,Лесная газета. Сказки и рассказы
0.1812822402358143,0.20412675018422993,0.050110537951363304,0.184966838614591,0.3795136330140015,Бианки,Лесная газета. Сказки и рассказы
0.16298342541436464,0.19171270718232045,0.051933701657458566,0.1983425414364641,0.39502762430939226,Бианки,Лесная газета. Сказки и рассказы
0.2360655737704918,0.16983606557377048,0.04786885245901639,0.19147540983606556,0.35475409836065575,Бианки,Лесная газета. Сказки и рассказы
0.19282511210762332,0.21325361235675136,0.07822620827105133,0.2012954658694569,0.3143996013951171,Бианки,Лесная газета. Сказки и рассказы
0.2141350210970464,0.16772151898734178,0.07753164556962025,0.205168776371308,0.33544303797468356,Бианки,Лесная газета. Сказки и рассказы
0.17409470752089137,0.19080779944289694,0.056406685236768804,0.20473537604456823,0.37395543175487467,Бианки,Лесная газета. Сказки и рассказы
0.23451193714113025,0.15321849501359927,0.06376548806285887,0.195527349652463,0.3529767301299486,Бианки,Лесная газета. Сказки и рассказы
0.22588832487309646,0.1884517766497462,0.0532994923857868,0.2100253807106599,0.3223350253807107,Бианки,Лесные разведчики
0.20862068965517241,0.22126436781609196,0.047126436781609195,0.21436781609195402,0.3086206896551724,Бианки,Лесные разведчики
0.18396987627756858,0.28509951586874666,0.047337278106508875,0.22538999462076384,0.258203335126412,Бианки,Лесные разведчики
0.22461212976022568,0.19675599435825106,0.05007052186177715,0.21086036671368125,0.3177009873060649,Бианки,Лесные разведчики
0.12772861356932153,0.451622418879056,0.03657817109144543,0.1584070796460177,0.22566371681415928,Бианки,Собрание сочинений. Том 1. Рассказы и сказки
0.22248107163657543,0.203843913803145,0.056493884682585906,0.20559114735002912,0.3115899825276645,Бианки,Собрание сочинений. Том 1. Рассказы и сказки
0.17407213800313642,0.21693674856246734,0.06952430737062205,0.23261892315734448,0.30684788290642967,Бианки,Собрание сочинений. Том 1. Рассказы и сказки
0.16676120249574589,0.26488939307997733,0.052183777651730004,0.2144072603516733,0.3017583664208735,Бианки,Собрание сочинений. Том 1. Рассказы и сказки
0.18380241240666284,0.21022400919012063,0.06835152211372775,0.22400919012062034,0.31361286616886846,Бианки,Собрание сочинений. Том 1. Рассказы и сказки
0.19507042253521126,0.20422535211267606,0.04225352112676056,0.23591549295774647,0.32253521126760565,Бианки,Собрание сочинений. Том 1. Рассказы и сказки
0.200498753117207,0.21246882793017458,0.07930174563591022,0.20099750623441395,0.30673316708229426,Бианки,Собрание сочинений. Том 1. Рассказы и сказки
0.19569672131147542,0.19211065573770492,0.07274590163934426,0.2182377049180328,0.3212090163934426,Бианки,Собрание сочинений. Том 1. Рассказы и сказки
0.2255253716043055,0.19067145053818554,0.06355715017939519,0.20809841107124552,0.3121476166068683,Бианки,Собрание сочинений. Том 1. Рассказы и сказки
0.23308270676691728,0.19611528822055138,0.05639097744360902,0.2111528822055138,0.3032581453634085,Бианки,Собрание сочинений. Том 1. Рассказы и сказки
0.20876826722338204,0.20320111343075853,0.04523312456506611,0.22338204592901878,0.31941544885177453,Бианки,Собрание сочинений. Том 1. Рассказы и сказки
0.1920185078079815,0.22614227877385773,0.045112781954887216,0.21746674378253325,0.3192596876807403,Бианки,Собрание сочинений. Том 1. Рассказы и сказки
0.199288256227758,0.20877817319098457,0.0711743772241993,0.18623962040332148,0.33451957295373663,Бианки,Собрание сочинений. Том 1. Рассказы и сказки
0.23279924599434496,0.20169651272384542,0.05984919886899152,0.19557021677662584,0.3100848256361923,Бианки,Собрание сочинений. Том 1. Рассказы и сказки
0.2150595882990249,0.19880823401950162,0.056338028169014086,0.20801733477789816,0.3217768147345612,Бианки,Собрание сочинений. Том 1. Рассказы и сказки
0.18946188340807174,0.20179372197309417,0.06446188340807175,0.2219730941704036,0.32230941704035876,Бианки,Собрание сочинений. Том 1. Рассказы и сказки
0.1834862385321101,0.16972477064220184,0.047706422018348627,0.22385321100917432,0.37522935779816513,Бианки,Собрание сочинений. Том 1. Рассказы и сказки
0.18781038374717832,0.29164785553047406,0.03747178329571106,0.20632054176072234,0.2767494356659142,Бианки,Собрание сочинений. Том 1. Рассказы и сказки
0.20131741457389873,0.2589543021819679,0.04363935776039522,0.22149032523672293,0.2745986002470152,Бианки,Собрание сочинений. Том 1. Рассказы и сказки
0.1953405017921147,0.23715651135005975,0.05077658303464755,0.1935483870967742,0.32317801672640384,Бианки,Собрание сочинений. Том 1. Рассказы и сказки
0.20579360289680146,0.20458660229330114,0.045262522631261314,0.21303560651780326,0.3313216656608328,Бианки,Собрание сочинений. Том 1. Рассказы и сказки
0.23595505617977527,0.21562332798287853,0.05457463884430177,0.21455323702514714,0.27929373996789725,Бианки,Собрание сочинений. Том 1. Рассказы и сказки
0.20342205323193915,0.23067173637515842,0.051964512040557666,0.23827629911280102,0.27566539923954375,Бианки,Собрание сочинений. Том 1. Рассказы и сказки
0.22887864823348694,0.20276497695852536,0.06041986687147977,0.22836661546338966,0.27956989247311825,Бианки,Собрание сочинений. Том 1. Рассказы и сказки
0.20726672171758878,0.17093311312964493,0.05037159372419488,0.21304706853839803,0.3583815028901734,Бианки,Собрание сочинений. Том 1. Рассказы и сказки
0.2335148215366001,0.20629159104658198,0.0338777979431337,0.21355111917725347,0.31276467029643074,Бианки,Собрание сочинений. Том 1. Рассказы и сказки
0.22298963986186482,0.20128268376911693,0.05722742969906265,0.20177602368031575,0.31672422298963987,Бианки,Собрание сочинений. Том 1. Рассказы и сказки
0.19490175252257036,0.19171534784917685,0.06213489113117366,0.20286776420605418,0.348380244291025,Бианки,Собрание сочинений. Том 1. Рассказы и сказки
0.23156801661474558,0.1640706126687435,0.06230529595015576,0.21651090342679127,0.32554517133956384,Бианки,Собрание сочинений. Том 1. Рассказы и сказки
